cnpj_basico;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte_empresa;ente_federativo_responsavel
45947743;V8 HIDROELETRICA SERVICOS E MANUTENCOES LTDA;2062;49;3000000.0;03;
45948334;RDF AT GESTAO E ADMINISTRACAO DE PROPRIEDADE IMOBILIARIA LTDA;2062;49;11366000.0;03;
45954279;CRED FACIL ASSESSORIA E CONSULTORIA FINANCEIRA LTDA;2062;49;50000000.0;03;
45955573;RESIDENCIAL LUNIQUE SPE LTDA;2062;49;2700000.0;03;
45961688;EULS MOTORS COMERCIO DE VEICULOS LTDA;2062;05;2041000.0;03;
45963721;AVANIAN GESTAO DE BENS LTDA;2062;49;2190753.0;03;
45963817;AGROPECUARIA TRE FRATELLI LTDA;2062;49;2250000.0;03;
45966862;QUITANDINHA SPE EMPREENDIMENTOS LTDA;2062;49;8783103.0;03;
45974352;AGROVALE LTDA;2062;49;3600000.0;03;
45974873;CONSTRUTORA S. A LTDA;2062;49;9000000.0;03;
45974899;RONDON MAQUINAS LTDA;2062;49;8000000.0;03;
45974900;ATACADISTA SERVIC E DIST. DE MATERIAL DE CONSTRUCAO LTDA;2062;49;7000000.0;03;
45974901;CAPISTRANO MAQUINAS LTDA;2062;49;5000000.0;03;
45975437;XINGU SERVICOS DE SERRALHERIA E TERRAPLENAGEM LTDA;2062;49;9000000.0;03;
45981088;DB AGRICOLA LTDA;2062;49;4498854.0;03;
45981436;SAO BENTO - ADMINISTRACAO DE BENS PROPRIOS LTDA;2062;49;3046248.0;03;
45983495;OFICINA ALIANCA SERVICOS DE LANTERNAGEM E FUNILARIA DE VEICULOS LTDA;2062;49;3500000.0;03;
45985553;BELIMA AGROPECUARIA LTDA;2062;05;22000000.0;03;
45988102;LEVEFORT INDUSTRIA, COMERCIO E GESTAO DE NEGOCIOS LTDA;2062;49;4500000.0;03;
45988408;VERDE DA AMAZONIA LTDA;2062;49;3000000.0;03;
45989578;RIO URUGUAI DE EMPRESAS ASOCIADAS CENTRAL ARGENTINO E EL DORADO LTDA;2062;49;5000000.0;03;
45992351;PARKCITY PARTICIPACOES LTDA;2062;49;36260678.0;03;
45999125;EMC HOLDING PATRIMONIAL LTDA;2062;49;3169874.0;03;
46001099;MP COMERCIAL AGRICOLA GANDU LTDA;2062;49;4000000.0;03;
46002232;C.L.D. AUTO CENTER - LTDA;2062;49;150000000.0;03;
46003764;AGROPECUARIA NOAH LTDA;2062;49;11050000.0;03;
46005945;PORTOS E PORTOS BRASIL LTDA;2062;49;125000000.0;03;
46006684;BONNY BRASIL LATICINIOS LTDA;2062;49;2350000.0;03;
46007195;MILAO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;2062;05;10000000.0;03;
46015539;GREIF EMBALAGENS INDUSTRIAIS DE MINAS GERAIS LTDA;2062;05;10117500.0;03;
46017212;CONDOMINIO RESERVA DO VALLIE LTDA;2062;49;2140945.0;03;
46018876;DDLL ENGENHARIA LTDA;2062;49;4000000.0;03;
46020174;MFM ADMINISTRACAO DE BENS E PARTICIPACOES LTDA;2062;05;3421360.0;03;
46023137;MSL PETROLEO E GAS DO BRASIL LTDA;2062;49;20000000.0;03;
46023155;INCORPORADORA AVANCA BRASIL LTDA;2062;49;5377500.0;03;
46024724;MG NEGOCIOS IMOBILIARIOS LTDA;2062;49;7460100.0;03;
46026597;NURION FS INDUSTRIA E COMERCIO DE CORREIAS LTDA;2062;49;2960000.0;03;
46026620;BR AGRO CORRETORA E FINANCIADORA DE CERAIS LTDA;2062;49;5000000.0;03;
46028322;SERVI-SAN MANUTENCAO E CONSERVACAO PREDIAL LTDA;2062;05;12015922.76;03;
46033095;BBL LOG LTDA;2062;49;29536640.51;03;
46036040;VINICOLA ALTO DOS VENTOS LTDA;2062;49;5928000.0;03;
46040311;MITRI PAR ADMINISTRACOES E PARTICIPACOES LTDA;2062;49;3559555.0;03;
46043186;PEDRO PAULO SILVINO COELHO LTDA;2062;49;999999999999.0;03;
46043259;PEDRO P. S. COELHO LTDA;2062;49;999999999999.0;03;
46046064;46.046.064 LTDA;2062;49;999999999999.0;03;
46051969;46.051.969 LTDA;2062;49;999999999999.0;03;
46059102;DNF ARTS LTDA;2062;49;25000000.0;03;
46059255;GMO PARTICIPACOES LTDA;2062;49;6607714.0;03;
46059595;GLOBAL AIR CARGAS LTDA;2062;49;100000000.0;03;
46069990;TERRA TRADING LTDA;2062;05;5000000.0;03;
46072071;SISTEMA BRASILEIRO DE FIANCAS LTDA;2062;49;100000000.0;03;
46074025;ATIVOS ENERGIA LTDA;2062;49;10000000.0;03;
46074818;ATIVOS FLEET LTDA;2062;49;100000000.0;03;
46076656;SERRA & FERREIRA ADMINISTRADORA DE BENS IMOVEIS PROPRIOS LTDA;2062;49;2860000.0;03;
46078637;MICHELE FERNANDES VIEGAS PSICOLOGIA LTDA;2062;49;2487500.0;03;
46080653;TECNOLOCKER SERVICOS E LOCACOES LTDA;2062;49;7000000.0;03;
46083839;WK ADMINISTRACOES IMOBILIARIAS LTDA;2062;49;2500000.0;03;
46087192;COSTA LEITE & FERNANDES DE LIMA PARTICIPACOES E ADMINISTRACAO DE IMOVEIS LTDA;2062;49;3101000.0;03;
